post_id,text,topic
9,"WorldCom director admits lying

The former chief financial officer at US telecoms firm WorldCom has admitted before a New York court that he used to lie to fellow board members.

Speaking at the trial of his former boss Bernard Ebbers, Scott Sullivan said he lied to the board to cover up the hole in WorldComs finances. Mr Ebbers is on trial for fraud and conspiracy in relation to WorldComs collapse in 2002. He pleads not guilty. The firm had been overstating its accounts by $11bn (£8.5bn). Mr Sullivan, 42, has already pleaded guilty to fraud and will be sentenced following Mr Ebbers trial, where he is appearing as a prosecution witness. Mr Ebbers, 63, has always insisted that he was unaware of any hidden shortfalls in WorldComs finances.

In the New York court on Wednesday, Mr Ebbers lawyer Reid Weingarten asked Mr Sullivan: If you believe something is in your interest, you are willing and able to lie to accomplish it, isnt that right?

On that date, yes. I was lying, replied Mr Sullivan. Mr Weingarten has suggested that Mr Sullivan is implicating Mr Ebbers only to win a lighter sentence, something Mr Sullivan denies. Mr Sullivan also rejects a suggestion that he had once told fellow WorldCom board member Bert Roberts that Mr Ebbers was unaware of the accounting fraud at WorldCom. The trial of Mr Ebbers is now into its third week.

Under 23 hours of questioning from a federal prosecutor, Mr Sullivan has previously told the court that he repeatedly warned Mr Ebbers that falsifying the books would be the only way to meet Wall Street revenue and earnings expectations. Mr Sullivan claims that Mr Ebbers refused to stop the fraud. Mr Ebbers could face a sentence of 85 years if convicted of all the charges he is facing. WorldComs problems appear to have begun with the collapse of the dotcom boom which cut its business from internet companies. Prosecutors allege that the companys top executives responded by orchestrating massive fraud over a two-year period. WorldCom emerged from bankruptcy protection in 2004, and is now known as MCI.
",business
10,"Ebbers denies WorldCom fraud

Former WorldCom chief Bernie Ebbers has denied claims that he knew accountants were doctoring the books at the firm.

Speaking in court, Mr Ebbers rejected allegations he pressured ex-chief financial officer Scott Sullivan to falsify company financial statements. Mr Sullivan made accounting decisions, he told the federal court, saying his finance chief had a keen command of the numbers. Mr Ebbers has denied charges of fraud and conspiracy. During his second day of questioning in the New York trial Mr Ebbers played down his working relationship with Mr Sullivan and denied he frequently met him to discuss company business when questioned by the prosecution.

In a lot of weeks, we would speak ... three or four times, Mr Ebbers said, adding that conversations about finances were rarely one-on-one and were usually discussed by a group of people instead.

Mr Ebbers relationship to Mr Sullivan is key to the case surrounding financial corruption that led to the collapse of the firm in 2002 following the discovery of an $11bn accounting fraud. The prosecutions star witness is Mr Sullivan, one of six WorldCom executives indicted in the case, He has pleaded guilty to fraud and appeared as a prosecution witness as part of an agreement with prosecutors. During his time on the witness stand Mr Sullivan repeatedly told jurors he met frequently with Mr Ebbers, told him about changes made to WorldComs accounts to hide costs and had warned him such practises were improper. However during the case on Tuesday Mr Ebbers denied the allegations. I wasnt advised by Scott Sullivan of anything ever being wrong, he told the court. Hes never told me he made an entry that wasnt right. If he had, we wouldnt be here today. Mr Ebbers could face a jail sentence of up to 85 years if convicted of all the charges he is facing. Shareholders lost about $180bn in WorldComs collapse, 20,000 workers lost their jobs and the company went bankrupt. The company emerged from bankruptcy last year and is now known as MCI.
",business
11,"Qantas sees profits fly to record

Australian airline Qantas has posted a record fiscal first-half profit thanks to cost-cutting measures.

Net profit in the six months ending 31 December rose 28% to A$458.4m ($357.6m; £191m) from a year earlier. Analysts expected a figure closer to A$431m. Qantas shares fell almost 3%, however, after it warned that earnings growth would slow in the second half. Sales will dip by at least A$30m after the Indian ocean tsunami devastated many holiday destinations, Qantas said.

The tsunami affected travel patterns in ways that we were a bit surprised about, chief executive Geoff Dixon explained. It certainly affected Japanese travel into Australia. As soon as the tsunami hit we saw ... a lessening with bookings for Australia. Higher fuel costs also are expected to eat into earnings in coming months. We dont have as much hedging benefit in the second half as we had in the first, said chief financial officer Peter Gregg. Qantas is facing increased pressure from rivals such as low-cost carrier Virgin Blue and the Australian government is in talks about whether to allow Singapore Airlines to fly between the Australia and the US - one of Qantas key routes.

Even so, the firm is predicting that full-year earnings will increase from the previous 12 months. Analysts have forecast full-year profit will rise about 11% to around A$720 million ($563 million). Qantas boss Mr Dixon also said he would be reviewing the groups cost-cutting measures. During the first six months of the fiscal year, Qantas made savings of A$245m, and is on track to top its target of A$500m for the full year. Last month, the company warned it may transfer as many as 7,000 jobs out Australia, with Mr Dixon quoted as saying that the carrier could no longer afford to remain all-Australian.
",business
15,"Euronext poised to make LSE bid

Pan-European group Euronext is poised to launch a bid for the London Stock Exchange, UK media reports say.

Last week, the LSE rejected a takeover proposal from German rival Deutsche Boerse - the 530 pence-a-share offer valued the exchange at about £1.35bn. The LSE, which saw its shares rise 25%, said the bid undervalued the business. Euronext - formed after the Brussels, Paris and Amsterdam exchanges merged - is reportedly working with three investment banks on a possible offer. The LSE, Europes biggest stock market, is a key prize, listing stocks with a total capitalisation of £1.4 trillion.

Euronext already has a presence in London due to its 2001 acquisition of London-based options and futures exchange Liffe. Trades on the LSE are cleared via Clearnet, in which Euronext has a quarter stake.

Euronext, which also operates an exchange in Lisbon, last week appointed UBS and ABN Amro as additional advisors. It is also working with Morgan Stanley. Despite the rejection of the Deutsche Boerse bid last week, Werner Seifert, chief executive of the Frankfurt-based exchange, may well come back with an improved offer. It has long wanted to link up with London, and the two tried and failed to seal a merger in 2000. Responding to the LSEs rebuff, Deutsche Boerse - whose market capitalisation is more than £3bn - said it believed it could show its proposal offered benefits, and that it still hoped to make a cash bid.

Last week the LSE said not only was the bid undervalued, but that it had been advised that there can be no assurance that any transaction could be successfully implemented. However, it has indicated it is open for further talks. Meanwhile, German magazine Der Spiegel said part of Mr Seiferts negotiations with the LSE were about where to base the future board of any merged exchange. While Mr Seifert has suggested a merged company would be run out of London, the mayor of Frankfurt has raised concerns that such a move could cost German jobs. Many analysts believe German Boerse has more financial firepower than Euronext if it came to a bidding war.
",business
16,"Cactus diet deal for Phytopharm

A slimming aid made from a southern African cactus is set to be developed by UK firm Phytopharm and Unilever.

Anglo-Dutch food giant Unilever will help the pharmaceutical firm develop the snacks containing Hoodia extract. Phytopharm shares jumped 10.7% on the news, with analysts saying sales of $600m (£309m) a year were possible. The plant, licensed to Phytopharm in 1997, has been used for thousands of years by the Sans bushmen of the Kalahari desert to stave off hunger. Studies have reportedly shown the plant curbs appetite instead of reducing calorific intake like many existing products.

Phytopharm will receive an initial fee of £6.5m from Unilever - out of a potential total of £21m - as well as future royalties on product sales. Under the deal, production of the Hoodia cactus at Phytopharms nursery in South Africa will also rise from eight million plants to potentially hundreds of millions, said Phytopharm chief executive Richard Dixey. The firm had initially hoped to market a slimming drug from Hoodia with Pfizer. But the research collaboration came to an end in 2003. Analysts said Unilever could launch the new products in 2007. This deal goes a long way to restoring the market faith in Phytopharms pipeline after the Pfizer exit, said analyst Erling Refsum at Nomura.
",business
17,"Wall Street cool to eBays profit

Shares in online auction house eBay fell 9.8% in after-hours trade on Wednesday, after its quarterly profits failed to meet market expectations.

Despite seeing net profits rise by 44% to $205.4m (£110m) during October to December, from $142m a year earlier, Wall Street had expected more. EBay stock fell to $92.9 in after-hours trade, from a $103.05 end on Nasdaq. EBays net revenue for the quarter rose to $935.8m from $648.4m, boosted by growth at its PayPal payment service.

Excluding special items, eBays profit was 33 cents a share, but analysts had expected 34 cents.

I think Wall Street has gotten a bit ahead of eBay this quarter and for the 2005 year. said Janco Partners analyst Martin Pyykkonen. For 2004 as a whole, eBay earned $778.2m on sales of $3.27bn. EBay president and chief executive Meg Whitman called 2004 an outstanding success that generated tremendous momentum for 2005. Im more confident than ever that the decisions and investments were making today will ensure a bright future for the company and our community of users around the world, she said. EBay now forecasts 2005 revenue of $4.2bn to $4.35bn and earnings excluding items of $1.48 to $1.52 per share. Analysts had previously estimated that eBay would achieve 2005 revenues of $4.37bn and earnings of $1.62 per share, excluding items.
",business
18,"Parmalat founder offers apology

The founder and former boss of Parmalat has apologised to investors who lost money as a result of the Italian dairy firms collapse.

Calisto Tanzi said he would co-operate fully with prosecutors investigating the background to one of Europes largest financial scandals. Parmalat was placed into bankruptcy protection in 2003 after a 14bn euro black hole was found in its accounts. More than 130,000 people lost money following the firms collapse. Mr Tanzi, 66, issued a statement through his lawyer after five hours of questioning by prosecutors in Parma on 15 January.

Prosecutors are seeking indictments against Mr Tanzi and 28 others - including several members of his family and former Parmalat chief financial officer Fausto Tonna - for alleged manipulation of stock market prices and making misleading statements to accountants and Italys financial watchdog. Two former Parmalat auditors will stand trial later this month for their role in the firms collapse.

I apologise to all who have suffered so much damage as a result of my schemes to make my dream of an industrial project come true, Mr Tanzis statement said. It is my duty to collaborate fully with prosecutors to reconstruct the causes of Parmalats sudden default and who is responsible. Mr Tanzi spent several months in jail in the wake of Parmalats collapse and was kept under house arrest until last September. Parmalat is now being run by a state appointed administrator, Enrico Bondi, who has launched lawsuits against 80 banks in an effort to recover money for the bankrupt company and its shareholders. He has alleged that these companies were aware of the true state of Parmalats finances but continued to lend money to the company. The companies insist they were the victims of fraudulent book-keeping. Parmalat was declared insolvent after it emerged that 4 billion euros (£2.8bn; $4.8bn) it supposedly held in an offshore account did not in fact exist. The firms demise sent shock waves through Italy, where its portfolio of top-selling food brands and its position as the owner of leading football club Parma had turned it into a household name.
",business
19,"Golden economic period to end

Ten years of golden economic performance may come to an end in 2005 with growth slowing markedly, City consultancy Deloitte has warned.

The UK economy could suffer a backlash from the slowdown in the housing market, triggering a fall in consumer spending and a rise in unemployment. Deloitte is forecasting economic growth of 2% this year, below Chancellor Gordon Browns forecast of 3% to 3.5%. It also believes that interest rates will fall to 4% by the end of the year.

In its quarterly economic review, Deloitte said the UK economy had enjoyed a golden period during the past decade with unemployment falling to a near 30 year low and inflation at its lowest since the 1960s.

But it warned that this growth had been achieved at the expense of creating major imbalances in the economy. Deloittes chief economic advisor Roger Bootle said: The biggest hit of all is set to come from the housing market which has already embarked on a major slowdown. Whereas the main driver of the economy in recent years has been robust household spending growth, this is likely to suffer as the housing market slowdown gathers pace.

Economic growth is likely to be constrained during the next few years by increased pressure on household budgets and rising taxes, Deloitte believes. Gordon Brown will need to raise about $10bn a year in order to sustain the public finances in the short term, the firm claims. This will result in a marked slowdown in growth in 2005 and 2006 compared to last year, when the economy expanded by 3.25%. However, Deloitte stressed that the slowdown was unlikely to have any major impact on retail prices while it expected the Bank of England to respond quickly to signs of the economy faltering. It expects a series of aggressive interest rate cuts over the next two years, with the cost of borrowing falling from its current 4.75% mark to 3.5% by the end of 2006. Although 2005 may not be the year when things go completely wrong, it will probably mark the start of a more difficult period for the UK economy, Mr Bootle.
",business
2367,"#GavinWilliamson
#schoolsreopening
#covid19
Current government guidelines state social distancing must be 2mtrs or… https://t.co/VaykhsrYKa",covid
2368,"#Superspreaders fuelling #COVID19 cases

Hong Kong has linked 80% of the citys #coronavirus infections back to jus… https://t.co/2kAcljvfr2",covid
2369,"#TamilNadu #COVID19 | 08 Aug
 TN - 5,883
Total Cases  - 2,90,907
Chennai - 986
Todays  Recoveries - 5,043
Todays… https://t.co/PjhO9rWcQK",covid
2370,The new charnamrit is #sanitizer #covid #covid19,covid
20,"Brazil plays down Varig rescue

The Brazilian government has played down claims that it could step in to save the countrys biggest airline.

Brazils airport authority chief Carlos Wilson had claimed the government was on the brink of stepping in to save Varig, Brazils flagship airline. However, the countrys vice president Jose Alencar has said the government still is looking for a solution. Varig is struggling under a huge debt burden of an estimated debt of 6.5 billion reais ($2.3bn or £1.2bn). Asked whether a rescue was on the cards following a meeting of the countrys Congress to discuss the airlines crisis, Mr Alencar replied: No, I dont think so. We will see.

Earlier, Mr Wilson had said that president Luiz Inacio Lula da Silva has decided to step in and a decree of some kind of intervention could be signed this week. In practice, it will be an intervention, although this is not the technical name used, he said. An intervention means that the government would take administrative control of the company and its finances. For that to happen Varigs main shareholder, the non-profit Ruben Berta Foundation which represents the airlines employees, would have to be removed, Mr Wilson said. However, no jobs would be lost and the airline would keep on flying, he added. Varig, which operates in 18 countries apart from Brazil, has been driven to the brink of collapse because of the countrys economic downturn.

The depreciation of Brazils currency has had a direct impact on the airlines dollar debt as well as some of its costs. Business has improved recently with demand for air travel increasing and a recovery in the Brazilian economy. The airline could also win a sizeable windfall from a compensation claim against the government. On Tuesday the courts awarded Varig 2bn reais ($725m), after ruling in favour of its compensation claim against the government for freezing tariffs from 1985 to 1992. But the government can appeal the decision.
",business
21,"WorldCom trial starts in New York

The trial of Bernie Ebbers, former chief executive of bankrupt US phone company WorldCom, has started in New York with the selection of the jury.

Mr Ebbers, 63, is accused of being the mastermind behind an $11bn (£6bn) accounting fraud that eventually saw the firm collapse in July 2002. His indictment includes charges of securities fraud, conspiracy and filing false reports with regulators. If found guilty, Mr Ebbers could face a substantial jail sentence. He has firmly declared his innocence.

Under Mr Ebbers leadership, WorldCom emerged from Mississippi obscurity to become a $160bn telecoms giant and the darling of late 1990s investors. Yet as competition intensified and the telecoms boom petered out, WorldCom found itself under growing financial stress. When WorldCom finally collapsed, shareholders lost about $180bn and 20,000 workers lost their jobs. Mr Ebbers trial, which is expected to last two months, is the latest in a series of attempts by US prosecutors to pursue senior executives for fraud. It will coincide with the retrial of former Tyco International chief Dennis Kozlowski and his top lieutenant, accused of looting the industrial conglomerate to the tune of $600m. Trail preparations are also preparing for former executives of shamed US energy firm Enron.
",business
22,"Tsunami slows Sri Lankas growth

Sri Lankas president has launched a reconstruction drive worth $3.5bn (£1.8bn) by appealing for peace and national unity.

President Kumaratunga said it was now important to find a peaceful solution to years of internal conflict. Meanwhile, the International Monetary Fund (IMF) said damage from the tsunami would cut one percentage point from Sri Lankas economic growth this year. It estimated the wave left physical damage equal to 6.5% of the economy.

Separately, the International Labour Organisation (ILO) said that at least one million people have lost their livelihoods in Sri Lanka and Indonesia alone. It called for action to create jobs. President Kumaratunga attended a ceremony in the southern town of Hambantota. She was joined by government and opposition politicians, together with Buddhist, Hindu, Muslim and Christian clergy.

Prime Minister Mahinda Rajapakse laid the foundation stone on a new housing project intended to provide 6,000 homes for survivors of the tsunami. Mrs Kumaratunga called for the tragedy to be the start of a new beginning to rebuild our nation. We are a country blessed with so many natural resources and we have not made use of them fully. Instead we have been squabbling, fighting, she added. Norways peace negotiator Erik Solheim is due to arrive on Wednesday to try to revive peace talks in the decades-long conflict between government forces and the Tamil Tigers, who want a separate state in the north east of the country. Reconstruction efforts in eastern Sri Lanka have been hampered by tensions between the two sides.

The IMF said that the Sri Lankan authorities initial estimates have put the physical damage at $1.3 to $1.5bn, but added that the implications for the economy were much wider than this. The broader macroeconomic impact will clearly be substantial but the details are difficult to assess at this early stage, the IMF said. Growth, inflation, the balance of payments and foreign exchange reserves are all expected to show the effects of lost businesses and reconstruction costs. The fishing industry has been devastated, agricultural production may be affected and tourism will suffer, especially in the short term, the report said. The ILO estimated that 400,000 Sri Lankans have lost their jobs, mostly in these three industries. Earnings from tourism this year are expected to be 15% lower than last year. Economic growth this year is expected to be 4%, which is about 1% less than previously forecast. Inflation could climb to 14% compared to a previous estimate of 12%. Although major exports have not suffered, the IMF expects the reconstruction effort will require higher imports which could damage the balance of payments. Foreign exchange reserves may become strained as Sri Lanka will be hard pressed to keep international reserves at the pre-tsunami level which totalled more than two months worth of imports. Last week, the IMF approved Sri Lankas request for a freeze on loan repayments.
",business
23,"Christmas shoppers flock to tills

Shops all over the UK reported strong sales on the last Saturday before Christmas with some claiming record-breaking numbers of festive shoppers.

A spokesman for Manchesters Trafford Centre said it was the biggest Christmas to date with sales up 5%. And the Regent Street Association said shops in central London were also expecting the best Christmas ever. That picture comes despite reports of disappointing festive sales in the last couple of weeks.

The Trafford Centre spokeswoman said about 8,500 thousand vehicles had arrived at the centre on Saturday before 1130 GMT. We predict that the next week will continue the same trend, she added.

It was a similar story at Bluewater in Kent. Spokesman Alan Jones said he expected 150,000 shoppers to have visited by the end of Saturday and a further 100,000 on Sunday. Our sales so far have been 2% up on the same time last year, he said. Were very busy, its really strong and people will be shopping right up until Christmas. Over the Christmas period were expecting people to spend in excess of £200m at the centre.

On Saturday afternoon, a spokeswoman for the St Davids Shopping Centre in Cardiff said it looked like being its busiest day of the year with about 200,000 shoppers expected to have visited by the close of play. At the St Enochs Shopping Centre in Glasgow, more than 140,000 shoppers - an all-time record - were expected to have passed through the doors by its closing time of 1900 GMT. Senior business manager Jon Walton said: It has been phenomenal - absolutely mobbed. Every week footfall has been showing strong growth and at the weekends it has been going mad. Regent Street Association director Annie Walker said on Saturday: The stores were heaving today and a lot of people are going to be doing last minute shopping as many people finished work on Friday and can go in the week.

She said reports of a slump in pre-Christmas sales were related to the growing popularity of internet sales. I do think this has had a lot to do with reports of lower sales figures, she said. Internet shopping has gone up enormously and not all stores have websites.
",business
24,"Iraq to invite phone licence bids

Iraq is to invite bids for two telephone licences, saying it wants to significantly boost nationwide coverage over the next decade.

Bids have been invited from local, Arab and foreign companies, Iraqs Ministry of Communications said. The winner will work in partnership with the Iraqi Telecommunications and Post Company (ITPC). The firms will install and operate a fixed phone network, providing voice, fax and internet services.

The ministry said that it wanted to increase Iraqs very low telephone service penetration rate from about 4.5% today to about 25% within 10 years. It also hopes to develop a highly visible and changeable telecommunication sector. Details of the bidding and tender process will be published on the ministrys website on 9 February. It also is planning a road-show for investors in Amman, Jordan. The ministry said it would base its selection on criteria including the speed of implementation, tariff rates, coverage, and the firms experience and financial strength.
",business
